"source","target","weight"
"ANAKIN","NUTE GUNRAY",1
"ANAKIN","COUNT DOOKU",3
"PADME","SUN RIT",1
"COUNT DOOKU","SUN RIT",1
"PADME","POGGLE",1
"COUNT DOOKU","POGGLE",1
"COUNT DOOKU","NUTE GUNRAY",1
"COUNT DOOKU","MACE WINDU",2
"KI-ADI-MUNDI","PLO KOON",1
"COUNT DOOKU","YODA",2
"PADME","YODA",1
"COUNT DOOKU","EMPEROR",2
"EMPEROR","R2-D2",2
"OBI-WAN","R2-D2",12
"BAIL ORGANA","R2-D2",4
"R2-D2","YODA",1
"CAPTAIN ANTILLES","R2-D2",1
"OBI-WAN","ODD BALL",2
"ANAKIN","ODD BALL",2
"ANAKIN","EMPEROR",14
"GENERAL GRIEVOUS","OBI-WAN",2
"ANAKIN","GENERAL GRIEVOUS",1
"ANAKIN","BAIL ORGANA",2
"C-3PO","OBI-WAN",3
"C-3PO","EMPEROR",2
"BAIL ORGANA","C-3PO",3
"BAIL ORGANA","PADME",5
"BAIL ORGANA","FANG ZAR",2
"BAIL ORGANA","MON MOTHMA",2
"BAIL ORGANA","GIDDEAN DANU",1
"FANG ZAR","PADME",2
"FANG ZAR","MON MOTHMA",2
"FANG ZAR","GIDDEAN DANU",1
"MON MOTHMA","PADME",2
"GIDDEAN DANU","PADME",1
"GIDDEAN DANU","MON MOTHMA",1
"CAPTAIN TYPHO","PADME",2
"C-3PO","CAPTAIN TYPHO",2
"CLONE COMMANDER GREE","YODA",1
"CLONE COMMANDER CODY","OBI-WAN",2
"OBI-WAN","TION MEDON",1
"GENERAL GRIEVOUS","NUTE GUNRAY",1
"ANAKIN","CLONE COMMANDER CODY",1
"CLONE COMMANDER CODY","MACE WINDU",1
"CLONE COMMANDER CODY","YODA",1
"BAIL ORGANA","CAPTAIN ANTILLES",2
"BAIL ORGANA","QUI-GON",1
"C-3PO","YODA",1
"DARTH VADER","EMPEROR",1
"C-3PO","CAPTAIN ANTILLES",1
